DrawDate,DrawnNo1,DrawnNo2,DrawnNo3,DrawnNo4,DrawnNo5,DrawnNo6
20121103,2,11,17,20,29,58
20121104,29,42,43,45,49,51
20121107,6,23,26,40,41,57
20121110,8,10,16,20,49,57
20121111,1,9,17,39,51,58
20121113,6,20,28,29,31,42
20121114,7,13,37,45,52,57
20121117,1,9,14,26,41,52
20121118,2,3,14,19,32,36
20121121,3,25,39,40,55,56
20121124,18,25,27,29,36,54
20121125,21,30,52,53,56,57
20121127,4,15,22,24,43,49
20121128,8,14,41,45,48,51
20121201,13,23,34,46,53,55
20121202,4,15,23,32,47,58
20121204,4,8,28,33,46,47
20121205,1,7,10,36,44,46
20121208,1,8,24,44,46,48
20121209,3,5,6,18,22,39
20121212,1,9,27,45,50,53
20121215,5,6,15,35,39,40
20121216,7,11,39,47,49,58
20121218,6,10,12,48,49,57
20121219,9,10,17,37,42,56
20121222,13,14,21,27,34,44
20121223,20,38,44,46,50,55
20121226,7,33,36,40,46,50
20121229,5,6,16,21,51,57
20121230,11,20,30,31,33,48
20130102,11,12,20,22,28,46
20130105,13,24,29,32,38,46
20130106,3,19,27,32,52,53
20130108,4,10,13,15,37,51
20130109,6,15,26,44,47,52
20130112,1,9,27,40,48,58
20130113,5,8,20,41,53,58
20130116,3,20,22,26,27,33
20130119,1,21,29,35,42,55
20130120,3,9,20,38,40,58
20130122,6,14,23,29,47,53
20130123,7,18,28,29,31,42
20130126,1,6,23,32,35,57
20130127,1,3,20,21,25,33
20130130,4,7,12,17,41,46
20130202,1,15,39,42,43,45
20130203,7,19,27,41,43,56
20130205,12,22,34,46,53,55
20130206,3,9,28,30,38,49
20130209,12,29,32,46,51,52
20130210,1,5,17,21,24,30
20130212,17,19,25,31,37,40
20130213,5,6,8,21,38,40
20130216,27,30,37,43,48,49
20130217,13,25,26,27,29,50
20130219,6,17,29,39,41,46
20130220,21,30,31,41,44,52
20130223,20,24,27,28,37,54
20130224,7,17,33,34,35,45
20130227,1,3,5,21,30,38
20130302,2,37,42,45,47,57
20130303,23,27,33,45,49,55
20130305,1,2,41,48,57,58
20130306,12,14,31,34,37,43
20130309,1,36,43,46,48,52
20130310,6,7,22,30,34,43
20130313,9,15,30,31,38,52
20130316,4,19,24,42,49,53
20130317,13,23,28,36,37,46
20130320,17,18,27,42,45,48
20130323,2,12,37,54,56,57
20130324,2,16,21,31,41,46
20130326,23,24,30,50,55,56
20130327,2,3,9,30,31,32
20130330,32,34,40,47,48,49
20130331,20,32,39,41,52,53
20130402,3,5,15,35,36,44
20130403,11,14,18,19,44,51
20130406,11,16,27,38,50,54
20130407,11,18,21,25,47,58
20130410,14,20,27,31,36,48
20130413,2,27,31,38,54,55
20130414,4,9,23,26,42,47
20130417,5,22,35,42,43,56
20130420,26,31,33,45,51,56
20130421,1,21,25,38,41,52
20130424,12,30,32,37,41,47
20130427,22,23,35,40,46,56
20130428,2,8,15,48,50,54
20130430,5,27,41,45,50,54
20130501,9,16,23,30,42,47
20130504,10,19,21,33,40,57
20130505,18,20,23,25,37,45
20130507,5,23,24,29,39,43
20130508,11,24,33,34,51,58
20130511,6,20,23,25,34,44
20130512,17,36,37,44,46,47
20130515,13,30,42,44,49,52
20130518,3,6,25,29,34,48
20130519,19,37,40,45,48,49
20130522,2,4,10,33,37,54
20130525,17,29,34,53,55,57
20130526,10,19,42,43,53,56
20130528,8,16,20,43,48,54
20130529,22,26,38,42,43,49
20130601,12,15,20,29,37,52
20130602,14,22,24,31,35,55
20130605,1,7,9,33,37,48
20130608,8,10,12,23,49,54
20130609,1,10,25,29,36,50
20130612,18,29,32,34,51,52
20130615,4,14,25,48,51,58
20130616,9,28,32,43,48,50
20130619,1,5,6,17,20,23
20130622,14,24,30,34,40,54
20130623,14,25,32,44,56,57
20130625,4,13,14,15,27,57
20130626,5,10,14,18,24,55
20130629,18,19,36,38,44,58
20130630,5,9,15,38,56,57
20130702,17,20,29,34,40,48
20130703,2,25,26,33,35,36
20130706,8,12,15,16,36,48
20130707,14,34,37,44,46,52
20130710,3,7,15,19,23,52
20130713,9,20,21,25,31,50
20130714,4,10,24,30,35,45
20130717,19,21,40,43,52,58
20130720,5,20,44,53,54,57
20130721,8,15,19,32,34,37
20130724,7,16,34,42,49,53
20130727,11,14,23,41,47,49
20130728,7,18,23,41,47,56
20130731,4,7,14,31,39,51
20130803,1,5,7,14,40,44
20130804,3,15,21,34,47,56
20130807,2,5,16,34,46,55
20130810,1,3,5,29,44,48
20130811,9,24,33,37,42,48
20130813,2,9,11,36,41,57
20130814,17,20,38,44,49,54
20130817,13,23,41,48,49,57
20130818,10,16,43,46,51,57
20130821,2,17,30,34,39,57
20130824,13,25,27,29,32,37
20130825,7,26,38,42,45,52
20130827,11,31,42,52,53,58
20130828,6,15,16,20,39,57
20130831,6,11,24,43,46,55
20130901,7,23,32,34,49,51
20130903,12,14,15,23,26,41
20130904,5,9,12,14,15,16
20130907,1,21,36,37,40,44
20130908,3,17,21,29,47,55
20130911,2,8,19,22,26,32
20130914,3,18,20,37,54,58
20130915,1,13,24,26,32,44
20130918,16,27,36,43,55,56
20130921,4,14,15,24,42,49
20130922,12,14,19,27,46,47
20130925,7,11,12,22,26,28
20130928,4,9,13,15,45,58
20130929,21,24,32,33,56,58
20131001,11,14,26,32,41,56
20131002,5,8,12,36,50,57
20131005,9,18,30,35,50,54
20131006,3,11,15,25,32,58
20131009,6,21,35,36,39,48
20131012,16,27,31,44,46,54
20131013,6,23,26,28,48,57
20131016,4,12,23,35,37,44
20131019,8,20,28,31,50,52
20131020,26,41,43,44,54,58
