DrawDate,DrawnNo1,DrawnNo2,DrawnNo3,DrawnNo4,DrawnNo5,DrawnNo6
20060107,3,14,22,27,28,39
20060108,3,13,24,33,37,43
20060110,5,9,15,18,31,33
20060111,12,15,22,28,31,40
20060114,14,18,20,21,28,38
20060115,9,12,20,40,42,43
20060117,1,2,3,11,24,39
20060118,6,25,35,36,37,45
20060121,16,32,36,39,40,44
20060122,3,5,7,9,14,38
20060125,2,5,7,8,15,36
20060128,8,16,23,24,25,34
20060129,4,10,15,20,22,33
20060130,1,17,21,29,36,37
20060201,4,9,12,17,21,33
20060202,6,8,16,20,21,39
20060204,1,10,17,30,32,35
20060205,4,5,13,15,42,43
20060206,2,3,26,31,37,45
20060208,8,10,15,33,37,41
20060211,1,9,26,34,41,44
20060212,4,13,18,23,28,33
20060214,2,3,7,14,36,41
20060215,17,21,24,31,39,43
20060218,1,4,13,14,16,38
20060219,1,6,9,14,23,39
20060222,22,28,33,34,42,45
20060225,2,3,23,27,29,43
20060226,5,7,11,12,13,19
20060301,2,15,19,25,32,39
20060304,16,19,23,31,41,45
20060305,19,23,34,40,43,44
20060307,6,15,18,26,32,41
20060308,1,2,6,25,31,42
20060311,12,15,19,28,35,42
20060312,11,15,23,25,29,40
20060315,16,24,29,35,40,42
20060318,6,7,19,21,28,31
20060319,11,21,28,38,41,42
20060322,3,8,12,37,40,44
20060325,3,6,11,13,20,35
20060326,5,6,8,27,30,41
20060329,3,21,22,33,34,37
20060401,15,17,25,29,34,39
20060402,1,8,23,28,32,41
20060405,12,14,20,25,29,44
20060408,14,16,22,39,41,44
20060409,20,21,26,32,39,41
20060412,6,17,19,32,40,44
20060415,1,2,11,22,30,31
20060416,3,7,17,20,27,28
20060419,14,18,36,40,42,45
20060422,1,5,11,19,39,43
20060423,3,6,7,24,35,41
20060425,14,20,21,27,32,42
20060426,4,14,25,27,40,43
20060429,7,14,15,29,31,40
20060430,11,17,24,28,43,45
20060502,4,5,16,21,26,28
20060503,6,22,26,28,32,43
20060506,3,20,23,28,34,37
20060507,2,7,13,27,30,44
20060510,1,19,20,27,35,42
20060513,2,5,10,18,20,40
20060514,4,6,17,21,30,39
20060517,8,12,14,21,24,27
20060520,4,5,6,9,34,42
20060521,3,14,17,28,35,36
20060524,27,29,30,32,38,42
20060527,3,12,24,26,33,40
20060528,17,18,22,29,32,41
20060530,16,21,22,25,28,39
20060531,10,26,29,31,38,41
20060603,1,3,10,20,25,36
20060604,12,13,15,18,23,32
20060607,13,15,17,26,29,38
20060610,8,16,18,24,31,35
20060611,7,10,17,20,30,37
20060614,20,25,34,36,41,44
20060617,17,22,28,38,43,44
20060618,3,16,26,27,29,38
20060621,2,24,25,28,29,33
20060624,5,6,23,30,36,45
20060625,4,6,25,40,43,45
20060628,3,6,7,15,16,41
20060701,3,9,30,31,40,42
20060702,8,15,17,18,25,31
20060705,10,14,20,23,28,39
20060708,2,6,16,34,37,42
20060709,6,11,12,17,22,37
20060712,10,17,18,20,24,27
20060715,1,14,16,42,43,45
20060716,6,8,28,31,36,43
20060719,12,25,35,39,40,44
20060722,9,21,29,41,42,43
20060723,3,12,19,23,38,44
20060726,3,8,26,30,36,39
20060729,1,17,26,29,37,38
20060730,5,23,30,36,38,39
20060802,7,8,10,11,27,31
20060805,1,10,18,30,39,43
20060806,12,14,18,22,25,32
20060809,6,11,23,35,37,41
20060812,7,9,25,35,40,43
20060813,10,11,22,41,43,44
20060816,5,17,26,28,30,41
20060819,5,6,11,17,21,28
20060820,2,13,28,30,37,41
